hue0,hue1,hue2,hue3,hue4,hue5,total,lat,lng
186835,27475,7434,186254,1029,573,409600,40.7359033252,-73.9742362434
165737,11936,8820,218191,2437,2479,409600,40.7359033252,-73.9742362434
203643,32155,16339,143900,5338,8225,409600,40.7359033252,-73.9742362434
144978,58609,8947,194040,1101,1925,409600,40.7359033252,-73.9742362434
134021,82626,36141,125464,22724,8624,409600,40.7359033302,-73.9753120577
102740,68886,43033,144268,36698,13975,409600,40.7359033302,-73.9753120577
173254,92840,32426,84230,17691,9159,409600,40.7359033302,-73.9753120577
89860,110021,53938,114784,32589,8408,409600,40.7359033302,-73.9753120577
97479,135173,32558,137639,3958,2793,409600,40.7359033352,-73.9763878719
69411,202326,46563,86242,3542,1516,409600,40.7359033352,-73.9763878719
56950,181626,57264,102479,5983,5298,409600,40.7359033352,-73.9763878719
82503,114371,28392,178995,3477,1862,409600,40.7359033352,-73.9763878719
145830,99356,58833,86072,4725,14784,409600,40.7359033502,-73.9796153147
54593,103002,81218,136842,18258,15687,409600,40.7359033502,-73.9796153147
81000,133584,57718,134270,1460,1568,409600,40.7359033502,-73.9796153147
115835,71220,80969,100984,18705,21887,409600,40.7359033502,-73.9796153147
113716,115748,36383,128695,9277,5781,409600,40.7359033552,-73.980691129
58632,153079,52868,120943,19350,4728,409600,40.7359033552,-73.980691129
75477,106717,22279,156384,30367,18376,409600,40.7359033552,-73.980691129
67991,111817,57425,116936,41666,13765,409600,40.7359033552,-73.980691129
111203,20437,28259,238425,3579,7697,409600,40.7359033602,-73.9817669433
172230,37493,37254,150234,6889,5500,409600,40.7359033602,-73.9817669433
123984,22322,15502,243087,2223,2482,409600,40.7359033602,-73.9817669433
78028,28075,35060,260190,3700,4547,409600,40.7359033602,-73.9817669433
202162,97298,67986,38447,2048,1659,409600,40.7359033652,-73.9828427576
226838,31034,13518,127996,6127,4087,409600,40.7359033652,-73.9828427576
185367,61471,22924,134891,2525,2422,409600,40.7359033652,-73.9828427576
84989,69917,51954,197683,2697,2360,409600,40.7359033652,-73.9828427576
138229,158470,17537,67134,11990,16240,409600,40.7359033702,-73.9839185718
55038,91432,43695,160188,41278,17969,409600,40.7359033702,-73.9839185718
175434,80193,23270,89054,18650,22999,409600,40.7359033702,-73.9839185718
75661,136274,19789,76671,40857,60348,409600,40.7359033702,-73.9839185718
116686,53998,11242,219642,5011,3021,409600,40.7359033752,-73.9849943861
74090,86002,54752,188168,4435,2153,409600,40.7359033752,-73.9849943861
198205,77148,13825,112896,3550,3976,409600,40.7359033752,-73.9849943861
30031,142627,63566,159515,6302,7559,409600,40.7359033752,-73.9849943861
188885,38963,21255,151560,3591,5346,409600,40.7359033802,-73.9860702004
146884,29851,47160,173260,7641,4804,409600,40.7359033802,-73.9860702004
118526,35747,30097,212424,7581,5225,409600,40.7359033802,-73.9860702004
149789,44627,18120,188249,4434,4381,409600,40.7359033802,-73.9860702004
114182,30901,50750,185077,16229,12461,409600,40.7359033852,-73.9871460146
160600,76163,43830,106977,12238,9792,409600,40.7359033852,-73.9871460146
98651,64168,54623,177353,6677,8128,409600,40.7359033852,-73.9871460146
96765,115788,41172,119810,22008,14057,409600,40.7359033852,-73.9871460146
71391,182673,97685,53387,2217,2247,409600,40.7359033901,-73.9882218289
187764,34247,33614,123943,11554,18478,409600,40.7359033901,-73.9882218289
95267,145666,41030,109505,2725,15407,409600,40.7359033901,-73.9882218289
65635,181769,48495,102932,5048,5721,409600,40.7359033901,-73.9882218289
127214,83725,39498,147745,3584,7834,409600,40.7359033951,-73.9892976432
155141,85466,46870,102981,4463,14679,409600,40.7359033951,-73.9892976432
69086,132235,14930,186498,3114,3737,409600,40.7359033951,-73.9892976432
142558,138678,62855,62948,1121,1440,409600,40.7359033951,-73.9892976432
146778,48663,21690,173638,8426,10405,409600,40.7359034051,-73.9914492717
81919,95942,57437,159707,7930,6665,409600,40.7359034051,-73.9914492717
119938,82395,48562,135368,13355,9982,409600,40.7359034051,-73.9914492717
85830,56391,21434,229214,10860,5871,409600,40.7359034051,-73.9914492717
49837,94666,92816,150064,5401,16816,409600,40.7359034101,-73.992525086
215777,130479,8685,46471,1835,6353,409600,40.7359034101,-73.992525086
129766,98902,22754,146231,3196,8751,409600,40.7359034101,-73.992525086
81559,100486,37434,182924,4177,3020,409600,40.7359034101,-73.992525086
187458,71670,28198,115217,3695,3362,409600,40.7359034151,-73.9936009003
