redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
33393, 68301, 43590, 1189, 6952, 16, 6559, 160000, 40.7141709226, -73.9894608998
41938, 13775, 96435, 1352, 2951, 93, 3456, 160000, 40.7142088451, -73.9895847997
37348, 37072, 69936, 7238, 4369, 114, 3923, 160000, 40.7142467677, -73.9897086996
23633, 70263, 56171, 1688, 4255, 88, 3902, 160000, 40.7142846902, -73.9898325997
36506, 42964, 65009, 4115, 5861, 104, 5441, 160000, 40.7143226128, -73.9899564998
43023, 33723, 65937, 4009, 4509, 21, 8778, 160000, 40.7143605353, -73.9900803999
41945, 62141, 37312, 4966, 6917, 54, 6665, 160000, 40.7143984579, -73.9902043002
60025, 41670, 44018, 1756, 7988, 47, 4496, 160000, 40.7144363804, -73.9903282005
43876, 62395, 35312, 2819, 9324, 24, 6250, 160000, 40.7162670842, -73.9962041389
39401, 18565, 91823, 3687, 1291, 637, 4596, 160000, 40.7163096684, -73.9963253778
19083, 14034, 120041, 2232, 1744, 236, 2630, 160000, 40.7163522526, -73.9964466168
18917, 74640, 48792, 3153, 7524, 49, 6925, 160000, 40.7163948368, -73.9965678559
28473, 68207, 49055, 2286, 4045, 43, 7891, 160000, 40.716437421, -73.9966890951
39707, 62199, 47215, 1903, 4812, 44, 4120, 160000, 40.7164800052, -73.9968103343
44680, 56067, 46351, 1779, 4100, 26, 6997, 160000, 40.7165225894, -73.9969315736
53393, 50813, 42548, 3288, 5189, 56, 4713, 160000, 40.7165651736, -73.997052813
53415, 50076, 43497, 3152, 5417, 53, 4390, 160000, 40.7165835056, -73.9971052874
51745, 52632, 41500, 2078, 6061, 45, 5939, 160000, 40.7166260112, -73.997226575
51110, 48047, 45382, 1985, 5918, 48, 7510, 160000, 40.7166685168, -73.9973478626
48293, 44191, 49562, 3967, 4704, 18, 9265, 160000, 40.7167110224, -73.9974691502
33107, 62592, 46839, 2714, 6914, 25, 7809, 160000, 40.716753528, -73.997590438
31886, 58016, 51299, 2484, 4019, 29, 12267, 160000, 40.7167960335, -73.9977117258
50539, 30930, 65030, 1805, 2849, 139, 8708, 160000, 40.7168385391, -73.9978330137
51004, 31552, 64465, 1483, 2882, 99, 8515, 160000, 40.7168559627, -73.9978846166
53643, 41001, 52384, 1264, 5004, 17, 6687, 160000, 40.7168979253, -73.9980062332
52663, 51942, 41439, 1657, 4791, 65, 7443, 160000, 40.716939888, -73.99812785
40409, 42159, 60113, 2185, 7794, 72, 7268, 160000, 40.7169818506, -73.9982494668
32845, 55273, 57028, 1699, 5502, 43, 7610, 160000, 40.7170238133, -73.9983710837
34934, 53039, 55709, 1872, 3114, 69, 11263, 160000, 40.717065776, -73.9984927007
33011, 111414, 7357, 3338, 2180, 17, 2683, 160000, 40.7171077386, -73.9986143177
43110, 64870, 40762, 3417, 3053, 11, 4777, 160000, 40.7171633077, -73.9986922335
58737, 60549, 27824, 1394, 6950, 26, 4520, 160000, 40.7172276154, -73.9987954671
55746, 61914, 30726, 1397, 3507, 50, 6660, 160000, 40.7172919232, -73.9988987009
53630, 60915, 32589, 1907, 4857, 27, 6075, 160000, 40.7173562309, -73.9990019347
53864, 50144, 42200, 731, 3784, 38, 9239, 160000, 40.7174205386, -73.9991051686
42585, 54709, 47037, 1347, 4047, 33, 10242, 160000, 40.7174848463, -73.9992084026
61773, 42668, 33568, 7274, 10043, 17, 4657, 160000, 40.717549154, -73.9993116367
