lat,lng,huegroup
42.3610465987,-71.0993675443,"[2430, 1181, 2139, 4598, 6972, 5605, 5796, 3741, 5892, 1699, 5683, 5561, 4044, 2764, 2995, 1646, 3480, 937, 1407, 165, 779, 923, 1054, 1100, 1327, 1883, 5397, 2955, 4060, 999, 5033, 5589, 5100, 3693, 10570, 22968, 9704, 3021, 941, 2, 933, 454, 149, 61, 234, 15, 246, 111, 178, 18, 135, 107, 114, 121, 257, 339, 310, 178, 136, 71]"
42.3611092975,-71.0994751887,"[2660, 1030, 1320, 3570, 4317, 11195, 5900, 4166, 5846, 1594, 4371, 3481, 3907, 4528, 4659, 2788, 3369, 1897, 1713, 444, 738, 781, 1494, 832, 1061, 1152, 1841, 1013, 1383, 491, 2138, 1396, 1291, 3235, 8732, 35721, 16279, 2532, 773, 0, 491, 301, 92, 64, 165, 3, 176, 36, 86, 1, 142, 102, 94, 101, 206, 353, 424, 338, 668, 519]"
42.3611719962,-71.0995828332,"[2792, 2094, 1348, 1292, 1879, 3865, 5257, 6009, 8335, 3856, 11875, 7958, 4777, 3288, 2724, 1152, 1861, 950, 1117, 179, 780, 366, 1242, 709, 654, 1131, 1376, 1496, 841, 255, 1531, 1492, 2754, 2375, 7187, 31050, 22141, 4399, 1207, 8, 613, 284, 78, 36, 126, 2, 211, 42, 98, 3, 44, 110, 115, 148, 288, 419, 482, 227, 540, 532]"
42.3612346949,-71.0996904779,"[4019, 2653, 3090, 2817, 3676, 6202, 9568, 6004, 6829, 823, 5921, 3716, 4496, 4129, 4930, 1999, 2335, 1105, 930, 182, 416, 256, 726, 471, 411, 1165, 802, 936, 1045, 386, 2061, 2386, 2171, 1708, 9596, 23846, 16994, 7140, 4009, 67, 2031, 679, 354, 95, 217, 4, 292, 37, 94, 8, 42, 72, 105, 66, 189, 511, 554, 516, 1131, 987]"
42.3612973936,-71.0997981226,"[2538, 1510, 1849, 1373, 3250, 4495, 4870, 5440, 6672, 2977, 6921, 7282, 6304, 5603, 7172, 3637, 3785, 1832, 2993, 287, 933, 730, 1447, 680, 730, 1498, 1245, 1855, 940, 375, 2681, 2550, 2667, 3056, 13518, 17223, 13226, 6180, 3399, 17, 1652, 499, 236, 56, 123, 6, 225, 34, 38, 4, 11, 42, 48, 42, 159, 473, 144, 185, 140, 143]"
42.3613600924,-71.0999057674,"[3678, 3845, 5167, 8921, 5970, 4908, 5564, 7174, 10251, 270, 8464, 4283, 1728, 523, 1337, 246, 1098, 470, 686, 77, 303, 321, 522, 279, 602, 993, 1159, 685, 790, 394, 2220, 2825, 5115, 17002, 31520, 10735, 3292, 624, 574, 0, 991, 512, 226, 273, 417, 1, 272, 87, 212, 1, 64, 111, 112, 141, 299, 394, 377, 285, 382, 228]"
42.3614227911,-71.1000134124,"[9187, 9494, 8347, 9896, 9013, 3782, 1767, 685, 1344, 55, 977, 911, 571, 373, 581, 302, 679, 516, 605, 140, 772, 646, 1206, 1228, 1833, 1279, 2811, 1229, 1672, 628, 2514, 2563, 3768, 7789, 30050, 28291, 2272, 1173, 762, 136, 503, 275, 119, 60, 167, 3, 233, 74, 140, 8, 120, 134, 252, 148, 591, 386, 1291, 353, 1702, 1594]"
42.3614854898,-71.1001210575,"[11211, 5179, 7332, 14298, 9868, 4442, 3412, 3170, 2400, 35, 1032, 1049, 423, 127, 248, 21, 1090, 64, 249, 3, 54, 571, 649, 223, 514, 1743, 2078, 4440, 3293, 4191, 7861, 6528, 5361, 5498, 13955, 15021, 6492, 855, 569, 1, 650, 272, 67, 38, 108, 12, 191, 100, 99, 15, 47, 112, 190, 114, 290, 220, 1395, 842, 4980, 4708]"
42.3615481885,-71.1002287026,"[3216, 1275, 4829, 14175, 10486, 8039, 5232, 4500, 2786, 596, 2337, 2309, 2188, 1845, 3053, 2489, 3509, 1964, 1479, 536, 1336, 2598, 1842, 1228, 3207, 2908, 5932, 3182, 4446, 2053, 6963, 5096, 5772, 10348, 10736, 4513, 2700, 404, 872, 10, 593, 134, 212, 40, 52, 15, 174, 43, 58, 46, 65, 134, 124, 225, 824, 1210, 969, 963, 781, 349]"
42.3616108873,-71.1003363479,"[4043, 2654, 3297, 5639, 4560, 4205, 6595, 3093, 2736, 814, 3299, 2769, 2863, 3323, 3595, 2990, 2716, 1545, 1028, 626, 857, 777, 770, 708, 1015, 3262, 1565, 1292, 1180, 495, 2169, 1808, 2663, 6185, 19327, 25734, 11515, 2618, 1177, 9, 1477, 553, 405, 161, 369, 36, 1046, 122, 246, 11, 238, 644, 217, 741, 768, 615, 2019, 1027, 1169, 620]"
42.3616147449,-71.100343409,"[3985, 2823, 3906, 5168, 4626, 3800, 6678, 2844, 2964, 703, 3118, 2831, 2760, 3658, 3455, 2983, 2918, 1542, 1104, 634, 935, 684, 807, 699, 1004, 3582, 1391, 1238, 1131, 460, 1949, 1549, 2517, 6402, 18723, 26128, 11131, 2767, 1624, 21, 1289, 531, 407, 244, 425, 40, 1180, 187, 312, 2, 259, 873, 358, 626, 594, 660, 2498, 637, 1012, 624]"
42.3616772899,-71.1004512181,"[9113, 8653, 3567, 3334, 2807, 2918, 5361, 2494, 2658, 851, 3859, 2141, 1837, 2391, 2872, 2445, 2929, 1308, 1227, 377, 542, 524, 698, 688, 1164, 4078, 2024, 1891, 1431, 791, 2633, 2098, 2246, 2553, 8243, 15481, 8321, 4606, 4120, 676, 5259, 3934, 805, 963, 4427, 139, 4114, 1036, 479, 103, 351, 1776, 882, 594, 971, 1571, 1135, 1447, 1279, 785]"
42.3617398348,-71.1005590273,"[4714, 2988, 2741, 3444, 5583, 5393, 5124, 2721, 3418, 829, 4579, 3977, 3052, 2658, 2884, 2479, 2632, 1496, 1460, 507, 1008, 738, 894, 710, 1080, 2112, 1208, 1348, 1314, 760, 2634, 2056, 4133, 3997, 10345, 16548, 18914, 9593, 5897, 54, 3437, 1844, 702, 88, 469, 20, 643, 85, 195, 11, 57, 224, 193, 127, 409, 1483, 475, 613, 472, 431]"
42.3618023798,-71.1006668367,"[4207, 1853, 2552, 4637, 5777, 4193, 5722, 2957, 3318, 468, 5544, 3964, 3229, 2405, 2288, 1084, 2160, 767, 865, 371, 889, 824, 1392, 1025, 1839, 5095, 5273, 3807, 5467, 1995, 5771, 4541, 5637, 6344, 20292, 19184, 5276, 1052, 1268, 6, 1103, 349, 252, 52, 113, 7, 289, 15, 31, 2, 21, 52, 59, 32, 137, 514, 642, 386, 347, 259]"
42.3618649247,-71.1007746461,"[2889, 2304, 4562, 13740, 16123, 11386, 5594, 4098, 5040, 925, 5833, 5748, 4980, 4483, 5155, 2393, 2620, 1124, 2569, 229, 1481, 1919, 2196, 912, 1964, 3688, 2781, 3725, 1047, 332, 1749, 1790, 1609, 2044, 18061, 4333, 3698, 317, 716, 38, 902, 221, 205, 30, 91, 8, 190, 26, 30, 9, 21, 41, 48, 27, 207, 968, 154, 296, 204, 127]"
42.3618717505,-71.1007864153,"[1454, 2720, 6786, 9724, 10666, 9608, 7380, 6405, 14107, 2770, 14651, 8372, 5008, 2589, 2739, 1189, 1685, 378, 306, 19, 148, 242, 264, 196, 346, 826, 594, 529, 400, 149, 1110, 2252, 3160, 4792, 8384, 9425, 10681, 2529, 1809, 4, 819, 414, 171, 84, 99, 11, 251, 65, 56, 12, 59, 63, 66, 80, 126, 340, 180, 222, 322, 164]"
