redcount,greencount,bluecount,samecount,redgreen,redblue,greenblue,total,lat,lng
89026,23094,39389,891,6612,188,800,160000,42.3870130286,-71.1580175791
40754,37648,73386,1432,5346,250,1184,160000,42.387043,-71.157984
48220,38720,63985,2060,5640,520,855,160000,42.3870910572,-71.1579301581
36182,46264,63578,4754,7716,288,1218,160000,42.3871319385,-71.1579184
55395,44877,47027,3326,8303,435,637,160000,42.387184,-71.15788
56907,43021,46784,3634,8781,299,574,160000,42.3872208771,-71.1578527999
41075,50960,56982,2691,7120,142,1030,160000,42.387274666,-71.1578188882
28694,60895,58142,3654,7373,96,1146,160000,42.387365332,-71.1577577763
25913,63195,60160,4454,5372,102,804,160000,42.387365,-71.157758
36142,60477,53994,2180,5591,84,1532,160000,42.3874616987,-71.1577172235
37576,56616,57090,2194,5256,44,1224,160000,42.387531,-71.157688
24459,52448,75939,1152,4744,78,1180,160000,42.3875583975,-71.1576764469
36369,45372,72119,951,3684,593,912,160000,42.3876301659,-71.1576601264
24665,59385,71396,1406,2338,20,790,160000,42.387716,-71.157636
24265,60257,71011,950,2484,32,1001,160000,42.3877293318,-71.1576322527
36353,40456,79363,671,2042,439,676,160000,42.3878159048,-71.1576134761
20109,31681,101455,1826,4039,276,614,160000,42.3879158095,-71.1575909521
19306,32275,100587,2430,4602,238,562,160000,42.387991,-71.157574
45708,42557,64732,1861,4555,158,429,160000,42.3880157143,-71.1575684281
44992,41923,66574,1749,4175,123,464,160000,42.3880902941,-71.1575469758
21443,61824,71856,1249,2892,97,639,160000,42.3881895882,-71.1575199515
27510,48781,76719,2557,3634,167,632,160000,42.3882888824,-71.1574929272
32230,49761,73045,976,2933,46,1009,160000,42.3883881765,-71.1574659029
34959,50012,66339,3627,4179,53,831,160000,42.388476,-71.157442
34123,49596,67284,3374,4505,60,1058,160000,42.3884874706,-71.1574388785
14903,52495,84091,3592,3477,55,1387,160000,42.3885757475,-71.1574182321
29296,59343,61599,2542,4122,36,3062,160000,42.3886754949,-71.1573944642
50520,72266,28104,2080,5361,7,1662,160000,42.388732,-71.157381
33516,77326,44631,924,2321,1149,133,160000,42.3887752424,-71.1573706962
